Price,Open,High,Low,Close,Volume
Ticker,AJG,AJG,AJG,AJG,AJG
Date,,,,,
2011-01-03,20.71611299573758,20.87171321738251,20.6807483892125,20.82927703857422,408600
2011-01-04,20.864639991882953,20.864639991882953,20.567584046512223,20.581729888916016,305000
2011-01-05,20.482711298229027,20.730258155775655,20.46149388265367,20.595876693725586,300100
2011-01-06,20.546358169567345,20.716105521601186,20.48977616856317,20.5251407623291,312400
2011-01-07,20.553440738440514,20.645387376380818,20.277603522663497,20.39784049987793,303700
2011-01-10,20.29174554370098,20.581728548991155,20.08663488926458,20.475637435913086,396100
2011-01-11,20.496855303075023,20.567583163034097,20.376618345851117,20.44027328491211,252300
2011-01-12,20.574659504662574,20.574659504662574,20.305893861937626,20.39784049987793,465400
2011-01-13,20.397839173040385,20.46856704015793,20.27052928203318,20.291748046875,201500
2011-01-14,20.298826969698414,20.46150016784668,20.2493165037634,20.46150016784668,298900
2011-01-18,20.440275065342394,20.6453857421875,20.383693042250957,20.6453857421875,589800
2011-01-19,20.61709226029893,20.61709226029893,20.411982950341514,20.44027328491211,344500
2011-01-20,20.369548811581854,20.496858710870306,20.277603522663497,20.39784049987793,289600
2011-01-21,20.47563656780012,20.47563656780012,20.221016827990606,20.256380081176758,249300
2011-01-24,20.28467309072991,20.518074084492632,20.22101815161083,20.468564987182617,261800
2011-01-25,20.482710639737476,20.84342153216245,20.40491120342591,20.82927703857422,442800
2011-01-26,20.878785514331337,20.999022474877446,20.80098473132451,20.98487663269043,303200
2011-01-27,21.006092859097166,21.25363832236544,20.871710072593245,21.21827507019043,565900
2011-01-28,21.281936934995375,21.338518966317505,20.94244474706258,21.006099700927734,432100
2011-01-31,21.105111200696243,21.16169321400823,20.850491466281486,20.991947174072266,716300
2011-02-01,21.069752589682636,21.225352823312143,20.85049605940509,21.18291664123535,756700
2011-02-02,21.232422849291396,21.494114176931994,20.892930740936272,21.14047622680664,629800
2011-02-03,21.062674511501182,21.204128866801828,20.991946659340073,21.04852867126465,372300
2011-02-04,20.98488063552641,21.345591585969835,20.98488063552641,21.253644943237305,458500
2011-02-07,21.232427961556066,21.366809443663932,21.168773007285164,21.352664947509766,514200
2011-02-08,21.42339036574135,21.42339036574135,21.246571368397255,21.380952835083008,382500
2011-02-09,21.31022465712159,21.37387960316356,21.197060608385172,21.239498138427734,423700
2011-02-10,21.182921753628044,21.303158756049143,21.027320133422958,21.289012908935547,269700
2011-02-11,21.211208592961114,21.458755480444584,21.204135670573354,21.430463790893555,242100
2011-02-14,21.45875305931176,21.543625420344913,21.42338980038492,21.515335083007812,217100
2011-02-15,21.48704945827593,21.819470121662256,21.48704945827593,21.635578155517578,328300
2011-02-16,21.798244823501552,22.158955724192282,21.769954486655013,21.99628257751465,684900
2011-02-17,21.967993052638864,22.25797611620615,21.86190191823995,22.215539932250977,412600
2011-02-18,22.23675908190417,22.399432247387015,22.0882304119688,22.36406898498535,339400
2011-02-22,22.364064858835338,22.576247092141877,22.095299257690534,22.116518020629883,642200
2011-02-23,22.123592219542136,22.123592219542136,21.692153458006192,21.69922637939453,544200
2011-02-24,21.727512874507966,21.876041499359626,21.522403586596678,21.670930862426758,595800
2011-02-25,21.748735254987555,22.003355026245117,21.6709344695429,22.003355026245117,421200
2011-02-28,22.05286345171636,22.32870062945821,21.97506266865204,22.208463668823242,458000
2011-03-01,22.20846630070628,22.243830910390948,21.769955932791785,21.89726448059082,562100
2011-03-02,21.868971393141017,21.95384509669447,21.73458859127378,21.812389373779297,210000
2011-03-03,22.02457791240129,22.272124823838055,21.975068799918365,22.201396942138672,259800
2011-03-04,22.11651384777372,22.166022936269286,21.73458428105682,21.868967056274414,321600
2011-03-07,21.946772276422006,22.05286339458466,21.685079592533825,21.71337127685547,318600
2011-03-08,21.798247298717964,21.925557201538155,21.713374929519162,21.890193939208984,410400
2011-03-09,21.833607694515646,21.883116791826243,21.7133707371806,21.741661071777344,329100
2011-03-10,21.607285560565632,21.67094052115568,21.430466525375987,21.543630599975586,293800
2011-03-11,21.54362330369833,21.925552937888753,21.529478810930392,21.819461822509766,383100
2011-03-14,21.529478810930392,21.960916193341173,21.501187127351077,21.819461822509766,446400
2011-03-15,21.154624176062274,21.72044441302281,21.140478332882797,21.515335083007812,596700
